InventoryItem,Category,StockLevel,UsagePerDay,ExpiryInDays,SpoilageRate,Supplier,SupplierLocation,OrganicOrLocal,CostPerUnit,DeliveryTimeDays,OrderFrequencyDays,LeadTimeDays,CustomerOrderTrend,WasteUnits
Kilkenny,Beverages,15,18,11,0.09,Green Isle Distributors,Dublin,No,7.78,2,3,8,81,1
Sticky Toffee Pudding,Dessert ,356,21,29,0.09,Green Isle Distributors,Dublin,No,12.79,4,3,6,165,25
Pinot Noir,Beverages,65,4,26,0.15,Emerald Foods Ltd,Cork,Yes,1.33,3,3,1,148,5
Guinness,Beverages,66,10,21,0.09,Emerald Foods Ltd,Cork,Yes,12.43,6,14,9,127,2
Spicy Wedges,Food ,461,21,21,0.08,Emerald Foods Ltd,Cork,Yes,1.47,6,7,7,149,23
Truffle Mushroom Pizza,Food ,495,14,6,0.07,Emerald Foods Ltd,Cork,Yes,1.77,1,7,6,196,28
Pinot Noir,Beverages,324,17,18,0.15,Claddagh Provisions,Galway,Yes,10.9,4,3,5,289,24
Potato Skins,Food ,57,2,3,0.09,Emerald Foods Ltd,Cork,Yes,11.34,2,3,2,156,2
Truffle Fries,Food ,318,12,19,0.05,Claddagh Provisions,Galway,Yes,1.51,5,3,8,199,0
Smithwick's,Beverages,186,12,11,0.13,Shannon Valley Produce,Limerick,No,11.48,5,3,7,187,6
Chardonnay,Beverages,123,22,12,0.06,Connemara Supplies,Mayo,Yes,11.91,3,7,4,134,4
Sauvignon Blanc,Beverages,206,7,14,0.12,Connemara Supplies,Mayo,Yes,19.12,3,7,1,244,22
Irish Nachos,Food ,257,12,28,0.06,Claddagh Provisions,Galway,Yes,18.27,5,7,8,236,5
Guinness,Beverages,56,7,19,0.03,Green Isle Distributors,Dublin,No,12.09,2,14,8,198,0
Kilkenny,Beverages,75,11,7,0.07,Green Isle Distributors,Dublin,No,9.75,3,14,8,225,2
Smithwick's,Beverages,127,10,6,0.12,Green Isle Distributors,Dublin,No,6.49,6,14,9,12,2
Chardonnay,Beverages,32,9,28,0.15,Shannon Valley Produce,Limerick,No,6.62,5,30,1,282,3
Irish Nachos,Food ,180,14,27,0.03,Shannon Valley Produce,Limerick,No,19.86,4,30,7,34,5
Pinot Noir,Beverages,400,12,17,0.02,Connemara Supplies,Mayo,Yes,16.34,1,14,2,122,2
Whiskey,Beverages,81,21,29,0.11,Green Isle Distributors,Dublin,No,3.46,1,3,8,15,5
Onion Rings,Food ,432,1,4,0.11,Shannon Valley Produce,Limerick,No,18.7,3,7,1,56,41
Whiskey,Beverages,47,17,13,0.06,Shannon Valley Produce,Limerick,No,15.85,5,30,5,22,0
Sticky Toffee Pudding,Dessert ,420,6,7,0.09,Claddagh Provisions,Galway,Yes,2.34,2,3,1,189,34
Baileys Cheesecake,Dessert ,204,18,25,0.12,Shannon Valley Produce,Limerick,No,8.26,2,14,5,95,16
Spicy Wedges,Food ,46,15,22,0.13,Emerald Foods Ltd,Cork,Yes,13.03,2,3,8,205,3
Baileys Cheesecake,Dessert ,415,15,25,0.05,Green Isle Distributors,Dublin,No,18.46,4,30,5,17,20
Guinness,Beverages,37,13,29,0.06,Connemara Supplies,Mayo,Yes,16.6,3,3,9,221,1
Bread Pudding,Dessert ,480,1,20,0.11,Connemara Supplies,Mayo,Yes,14.45,6,3,4,71,35
Guinness,Beverages,371,4,19,0.05,Green Isle Distributors,Dublin,No,2.47,6,3,3,159,1
Heineken,Beverages,383,17,6,0.06,Green Isle Distributors,Dublin,No,15.6,4,3,3,14,19
Chardonnay,Beverages,63,22,18,0.12,Emerald Foods Ltd,Cork,Yes,17.41,5,3,1,36,5
Boxty,Food ,179,12,25,0.08,Emerald Foods Ltd,Cork,Yes,16.22,5,30,1,206,4
Truffle Fries,Food ,392,16,16,0.08,Shannon Valley Produce,Limerick,No,5.31,4,30,7,189,10
Smithwick's,Beverages,410,9,5,0.01,Emerald Foods Ltd,Cork,Yes,14.73,6,7,6,230,1
Garlic Parmesan Fries,Food ,105,17,13,0.14,Green Isle Distributors,Dublin,No,15.0,6,14,5,59,2
Heineken,Beverages,291,8,11,0.11,Claddagh Provisions,Galway,Yes,5.12,3,30,8,123,31
Truffle Fries,Food ,274,20,27,0.08,Connemara Supplies,Mayo,Yes,16.16,6,3,9,151,15
Kilkenny,Beverages,47,20,21,0.06,Connemara Supplies,Mayo,Yes,13.33,3,3,2,47,2
Boxty,Food ,459,14,25,0.06,Claddagh Provisions,Galway,Yes,9.13,5,3,6,253,23
Potato Skins,Food ,370,8,10,0.08,Emerald Foods Ltd,Cork,Yes,18.23,3,30,1,292,0
Smithwick's,Beverages,232,15,12,0.01,Shannon Valley Produce,Limerick,No,13.93,3,7,9,130,0
Craft Beer,Beverages,80,19,18,0.1,Emerald Foods Ltd,Cork,Yes,10.92,3,14,3,244,1
Sweet Potato Fries,Food ,101,5,5,0.15,Green Isle Distributors,Dublin,No,1.85,6,3,7,106,1
Baileys Cheesecake,Dessert ,192,14,29,0.11,Emerald Foods Ltd,Cork,Yes,7.59,1,3,2,263,9
Bread Pudding,Dessert ,251,6,8,0.14,Shannon Valley Produce,Limerick,No,15.21,5,14,3,73,28
Whiskey,Beverages,408,24,20,0.11,Claddagh Provisions,Galway,Yes,12.28,4,14,8,16,7
Truffle Fries,Food ,199,11,8,0.01,Emerald Foods Ltd,Cork,Yes,9.68,6,7,7,104,0
Rioja,Beverages,195,17,21,0.04,Connemara Supplies,Mayo,Yes,19.58,5,30,5,218,0
Baileys Cheesecake,Dessert ,389,19,26,0.02,Shannon Valley Produce,Limerick,No,1.54,3,14,2,225,5
Rioja,Beverages,437,4,19,0.12,Green Isle Distributors,Dublin,No,9.25,5,3,7,154,8
Irish Coffee,Beverages,136,21,20,0.13,Green Isle Distributors,Dublin,No,14.87,1,30,5,178,16
Corned Beef,Food ,302,9,5,0.03,Shannon Valley Produce,Limerick,No,6.92,1,3,4,274,0
Spicy Wedges,Food ,124,15,17,0.08,Shannon Valley Produce,Limerick,No,9.67,1,7,5,12,0
Truffle Mushroom Pizza,Food ,33,15,6,0.02,Claddagh Provisions,Galway,Yes,10.2,2,7,7,163,0
Corned Beef,Food ,317,13,17,0.02,Claddagh Provisions,Galway,Yes,15.01,6,30,3,47,3
Rioja,Beverages,34,17,16,0.06,Claddagh Provisions,Galway,Yes,10.33,3,7,7,274,0
Sticky Toffee Pudding,Dessert ,441,8,9,0.07,Emerald Foods Ltd,Cork,Yes,12.08,6,14,3,100,1
Onion Rings,Food ,236,2,20,0.09,Emerald Foods Ltd,Cork,Yes,2.94,6,30,3,222,9
Corned Beef,Food ,348,6,27,0.14,Green Isle Distributors,Dublin,No,13.74,3,30,2,135,3
Bread Pudding,Dessert ,474,23,9,0.13,Connemara Supplies,Mayo,Yes,19.78,5,7,1,43,16
Boxty,Food ,374,12,22,0.06,Claddagh Provisions,Galway,Yes,6.48,6,30,6,271,22
Bread Pudding,Dessert ,63,19,13,0.04,Green Isle Distributors,Dublin,No,12.67,2,3,6,223,2
Irish Stew,Food ,158,4,27,0.14,Connemara Supplies,Mayo,Yes,15.34,3,30,5,260,8
Boxty,Food ,484,2,10,0.02,Shannon Valley Produce,Limerick,No,9.76,3,3,5,65,0
Whiskey,Beverages,371,13,7,0.03,Emerald Foods Ltd,Cork,Yes,11.33,6,14,5,47,5
Truffle Mushroom Pizza,Food ,288,19,6,0.07,Green Isle Distributors,Dublin,No,4.68,3,7,7,105,16
Smithwick's,Beverages,434,3,4,0.08,Green Isle Distributors,Dublin,No,2.37,4,7,6,165,6
Sauvignon Blanc,Beverages,498,5,5,0.1,Claddagh Provisions,Galway,Yes,2.1,2,3,9,110,9
Boxty,Food ,114,17,7,0.11,Green Isle Distributors,Dublin,No,12.94,5,3,3,50,9
Potato Skins,Food ,284,24,19,0.13,Emerald Foods Ltd,Cork,Yes,11.78,4,30,6,212,0
Irish Coffee,Beverages,433,24,23,0.09,Green Isle Distributors,Dublin,No,4.6,2,3,4,177,9
Sticky Toffee Pudding,Dessert ,265,2,27,0.01,Green Isle Distributors,Dublin,No,14.86,4,7,6,141,1
Whiskey,Beverages,222,24,18,0.12,Connemara Supplies,Mayo,Yes,13.21,2,14,1,212,4
Potato Skins,Food ,15,7,21,0.08,Green Isle Distributors,Dublin,No,7.53,5,14,5,65,0
Potato Skins,Food ,280,23,15,0.12,Shannon Valley Produce,Limerick,No,9.36,3,30,5,243,1
Craft Beer,Beverages,290,17,18,0.05,Shannon Valley Produce,Limerick,No,12.14,4,3,4,210,3
Irish Stew,Food ,100,4,9,0.15,Emerald Foods Ltd,Cork,Yes,6.3,1,30,1,271,13
Sweet Potato Fries,Food ,142,7,25,0.13,Green Isle Distributors,Dublin,No,8.21,3,14,6,69,0
Pepperoni Pizza,Food ,151,21,4,0.03,Claddagh Provisions,Galway,Yes,12.1,6,7,7,272,2
Rioja,Beverages,491,20,5,0.1,Green Isle Distributors,Dublin,No,15.38,4,30,8,116,34
Craft Beer,Beverages,255,4,13,0.08,Claddagh Provisions,Galway,Yes,1.04,6,7,1,66,14
Truffle Fries,Food ,200,20,21,0.11,Shannon Valley Produce,Limerick,No,14.51,1,7,2,167,19
Rioja,Beverages,430,14,27,0.03,Claddagh Provisions,Galway,Yes,4.29,3,30,9,255,2
Rioja,Beverages,396,12,15,0.12,Claddagh Provisions,Galway,Yes,19.94,5,30,5,108,46
Baileys Cheesecake,Dessert ,54,13,17,0.13,Shannon Valley Produce,Limerick,No,5.85,6,30,6,260,0
Margherita Pizza,Food ,106,4,19,0.09,Green Isle Distributors,Dublin,No,19.98,5,7,8,38,6
Pinot Noir,Beverages,147,18,12,0.05,Shannon Valley Produce,Limerick,No,8.21,1,30,7,210,5
Truffle Mushroom Pizza,Food ,432,9,3,0.13,Emerald Foods Ltd,Cork,Yes,16.93,5,7,6,200,32
Truffle Mushroom Pizza,Food ,36,2,25,0.15,Green Isle Distributors,Dublin,No,7.2,4,3,2,279,0
Smithwick's,Beverages,323,9,15,0.04,Connemara Supplies,Mayo,Yes,15.58,1,3,4,71,1
Baileys Cheesecake,Dessert ,70,21,19,0.12,Connemara Supplies,Mayo,Yes,10.96,1,14,2,14,0
Bread Pudding,Dessert ,136,8,24,0.07,Emerald Foods Ltd,Cork,Yes,13.82,6,30,5,132,5
Pepperoni Pizza,Food ,131,16,3,0.01,Connemara Supplies,Mayo,Yes,11.86,6,3,2,32,1
Pinot Noir,Beverages,301,10,11,0.12,Connemara Supplies,Mayo,Yes,14.31,6,14,2,208,32
Irish Coffee,Beverages,209,15,15,0.09,Connemara Supplies,Mayo,Yes,5.74,5,30,6,138,11
Sweet Potato Fries,Food ,126,19,14,0.02,Connemara Supplies,Mayo,Yes,10.12,2,3,9,129,1
Spicy Wedges,Food ,109,11,11,0.07,Shannon Valley Produce,Limerick,No,10.98,5,7,2,244,2
BBQ Chicken Pizza,Food ,225,9,16,0.1,Shannon Valley Produce,Limerick,No,3.36,6,7,6,33,1
Shepherd's Pie,Food ,388,7,13,0.1,Claddagh Provisions,Galway,Yes,7.16,3,3,4,108,38
BBQ Chicken Pizza,Food ,115,23,27,0.03,Green Isle Distributors,Dublin,No,16.53,4,7,6,39,0
Margherita Pizza,Food ,260,23,19,0.03,Green Isle Distributors,Dublin,No,15.57,4,7,3,245,3
Margherita Pizza,Food ,394,19,24,0.1,Shannon Valley Produce,Limerick,No,8.23,4,3,4,279,1
Pinot Noir,Beverages,69,9,12,0.12,Emerald Foods Ltd,Cork,Yes,13.79,4,7,6,190,4
Irish Coffee,Beverages,273,2,25,0.03,Emerald Foods Ltd,Cork,Yes,16.21,1,30,5,185,0
BBQ Chicken Pizza,Food ,333,3,15,0.02,Claddagh Provisions,Galway,Yes,15.31,4,7,5,108,6
Craft Beer,Beverages,46,23,27,0.14,Connemara Supplies,Mayo,Yes,17.61,3,7,6,139,3
Shepherd's Pie,Food ,302,2,16,0.01,Shannon Valley Produce,Limerick,No,8.14,6,30,9,176,3
Sticky Toffee Pudding,Dessert ,186,17,4,0.11,Claddagh Provisions,Galway,Yes,16.07,3,30,4,230,18
Margherita Pizza,Food ,121,12,19,0.13,Claddagh Provisions,Galway,Yes,10.41,5,3,1,121,14
Shepherd's Pie,Food ,167,1,17,0.09,Emerald Foods Ltd,Cork,Yes,12.19,4,7,9,126,1
Truffle Fries,Food ,11,4,25,0.15,Shannon Valley Produce,Limerick,No,9.34,6,3,1,264,1
Margherita Pizza,Food ,293,12,6,0.02,Connemara Supplies,Mayo,Yes,14.25,4,14,4,250,2
Onion Rings,Food ,287,9,17,0.13,Claddagh Provisions,Galway,Yes,4.06,2,30,8,182,36
Pinot Noir,Beverages,90,15,20,0.07,Green Isle Distributors,Dublin,No,3.41,3,3,7,98,0
Irish Nachos,Food ,163,12,21,0.03,Connemara Supplies,Mayo,Yes,5.66,2,7,2,10,2
Truffle Mushroom Pizza,Food ,130,22,8,0.09,Green Isle Distributors,Dublin,No,4.26,2,14,8,264,8
Pepperoni Pizza,Food ,246,2,28,0.08,Claddagh Provisions,Galway,Yes,2.8,1,30,2,194,5
Pinot Noir,Beverages,438,21,9,0.13,Claddagh Provisions,Galway,Yes,17.55,6,7,9,98,39
Shepherd's Pie,Food ,214,20,28,0.08,Claddagh Provisions,Galway,Yes,12.21,4,3,2,241,13
Garlic Parmesan Fries,Food ,77,18,28,0.14,Connemara Supplies,Mayo,Yes,8.12,1,7,4,281,3
Pepperoni Pizza,Food ,113,9,13,0.04,Connemara Supplies,Mayo,Yes,6.14,4,7,4,30,1
Potato Skins,Food ,181,13,6,0.03,Emerald Foods Ltd,Cork,Yes,14.65,5,30,7,30,4
Irish Stew,Food ,393,24,5,0.14,Shannon Valley Produce,Limerick,No,9.18,1,14,8,270,20
Irish Stew,Food ,268,24,16,0.13,Shannon Valley Produce,Limerick,No,12.88,5,3,9,296,34
Corned Beef,Food ,313,7,29,0.08,Claddagh Provisions,Galway,Yes,9.23,4,7,7,160,15
Chardonnay,Beverages,433,19,24,0.07,Connemara Supplies,Mayo,Yes,16.68,1,14,3,215,28
Shepherd's Pie,Food ,389,5,5,0.07,Emerald Foods Ltd,Cork,Yes,10.26,3,7,3,78,13
Sweet Potato Fries,Food ,421,10,20,0.09,Emerald Foods Ltd,Cork,Yes,11.39,3,30,9,33,35
Sticky Toffee Pudding,Dessert ,77,12,21,0.01,Connemara Supplies,Mayo,Yes,15.51,5,14,3,184,0
Guinness,Beverages,221,17,20,0.15,Connemara Supplies,Mayo,Yes,1.87,5,14,6,44,6
Sauvignon Blanc,Beverages,469,10,5,0.09,Shannon Valley Produce,Limerick,No,18.33,6,3,1,214,27
Pepperoni Pizza,Food ,300,20,15,0.04,Claddagh Provisions,Galway,Yes,8.77,2,30,9,161,5
Guinness,Beverages,348,18,4,0.06,Emerald Foods Ltd,Cork,Yes,13.16,6,14,9,107,13
Craft Beer,Beverages,417,12,14,0.03,Connemara Supplies,Mayo,Yes,8.17,3,14,5,151,3
Potato Skins,Food ,399,1,20,0.02,Emerald Foods Ltd,Cork,Yes,19.71,6,30,3,188,6
Irish Stew,Food ,199,1,14,0.01,Green Isle Distributors,Dublin,No,9.56,6,7,1,187,0
Irish Nachos,Food ,406,20,22,0.04,Green Isle Distributors,Dublin,No,10.32,1,14,4,135,4
Irish Stew,Food ,174,4,5,0.05,Emerald Foods Ltd,Cork,Yes,14.56,1,7,7,19,2
Onion Rings,Food ,173,16,23,0.05,Emerald Foods Ltd,Cork,Yes,9.53,6,14,8,163,5
Guinness,Beverages,329,5,15,0.02,Claddagh Provisions,Galway,Yes,12.98,5,3,8,82,0
Craft Beer,Beverages,311,22,13,0.06,Emerald Foods Ltd,Cork,Yes,4.38,4,7,3,36,17
Truffle Fries,Food ,118,2,18,0.15,Shannon Valley Produce,Limerick,No,10.18,4,3,4,293,17
Pepperoni Pizza,Food ,445,4,15,0.02,Claddagh Provisions,Galway,Yes,2.33,2,30,2,72,4
Guinness,Beverages,442,14,24,0.12,Emerald Foods Ltd,Cork,Yes,1.93,5,3,4,91,27
Garlic Parmesan Fries,Food ,134,22,23,0.04,Green Isle Distributors,Dublin,No,7.35,6,7,5,34,4
Shepherd's Pie,Food ,34,3,14,0.11,Emerald Foods Ltd,Cork,Yes,7.3,3,30,2,31,3
Whiskey,Beverages,283,6,22,0.02,Shannon Valley Produce,Limerick,No,12.72,1,3,5,203,4
Kilkenny,Beverages,411,9,14,0.01,Emerald Foods Ltd,Cork,Yes,18.84,4,3,5,137,2
Whiskey,Beverages,498,19,3,0.11,Shannon Valley Produce,Limerick,No,8.64,1,30,1,78,37
Sauvignon Blanc,Beverages,365,17,28,0.14,Emerald Foods Ltd,Cork,Yes,10.72,6,30,2,33,9
Pinot Noir,Beverages,296,13,17,0.09,Shannon Valley Produce,Limerick,No,10.12,4,7,7,43,19
Pepperoni Pizza,Food ,170,11,14,0.05,Connemara Supplies,Mayo,Yes,3.81,5,7,2,108,5
Heineken,Beverages,193,10,8,0.03,Shannon Valley Produce,Limerick,No,6.6,3,30,2,213,3
Onion Rings,Food ,441,12,9,0.15,Shannon Valley Produce,Limerick,No,1.77,1,14,6,243,7
Whiskey,Beverages,320,11,19,0.02,Connemara Supplies,Mayo,Yes,16.69,6,3,6,93,0
Baileys Cheesecake,Dessert ,182,13,4,0.14,Emerald Foods Ltd,Cork,Yes,2.93,1,3,4,79,7
Chardonnay,Beverages,328,8,15,0.05,Shannon Valley Produce,Limerick,No,19.4,6,30,7,167,9
Heineken,Beverages,19,21,5,0.12,Connemara Supplies,Mayo,Yes,11.32,1,30,7,105,2
Spicy Wedges,Food ,295,23,21,0.09,Green Isle Distributors,Dublin,No,12.73,2,30,2,57,11
Irish Stew,Food ,178,21,8,0.12,Connemara Supplies,Mayo,Yes,17.37,6,30,1,21,19
Potato Skins,Food ,51,1,9,0.15,Claddagh Provisions,Galway,Yes,11.57,6,7,2,111,0
Spicy Wedges,Food ,384,22,17,0.13,Green Isle Distributors,Dublin,No,19.63,3,7,6,89,27
Chardonnay,Beverages,218,5,26,0.07,Emerald Foods Ltd,Cork,Yes,6.37,3,7,6,140,13
Baileys Cheesecake,Dessert ,16,13,24,0.13,Green Isle Distributors,Dublin,No,10.45,1,3,6,299,2
Irish Coffee,Beverages,213,24,26,0.15,Connemara Supplies,Mayo,Yes,15.01,2,7,7,180,1
Shepherd's Pie,Food ,212,2,14,0.11,Connemara Supplies,Mayo,Yes,7.98,1,30,9,258,9
Craft Beer,Beverages,358,5,23,0.1,Green Isle Distributors,Dublin,No,10.22,4,7,2,238,21
Guinness,Beverages,383,5,11,0.06,Claddagh Provisions,Galway,Yes,18.09,4,14,3,141,2
Corned Beef,Food ,215,2,24,0.15,Claddagh Provisions,Galway,Yes,5.02,2,14,7,227,22
Truffle Mushroom Pizza,Food ,261,21,17,0.1,Green Isle Distributors,Dublin,No,2.85,5,7,8,196,1
Truffle Fries,Food ,92,19,23,0.12,Emerald Foods Ltd,Cork,Yes,5.97,5,3,1,136,0
Truffle Fries,Food ,317,15,15,0.05,Shannon Valley Produce,Limerick,No,9.07,4,30,2,95,12
Craft Beer,Beverages,370,8,3,0.12,Connemara Supplies,Mayo,Yes,2.41,3,30,8,71,19
Bread Pudding,Dessert ,223,8,16,0.07,Claddagh Provisions,Galway,Yes,3.09,2,14,3,34,1
Spicy Wedges,Food ,53,17,4,0.04,Claddagh Provisions,Galway,Yes,11.99,4,3,2,219,0
Irish Coffee,Beverages,398,22,23,0.03,Connemara Supplies,Mayo,Yes,2.63,1,30,6,297,1
BBQ Chicken Pizza,Food ,204,7,23,0.12,Green Isle Distributors,Dublin,No,16.22,4,7,2,224,6
Boxty,Food ,142,19,13,0.11,Emerald Foods Ltd,Cork,Yes,12.02,1,14,4,124,11
Spicy Wedges,Food ,23,12,4,0.11,Claddagh Provisions,Galway,Yes,6.1,3,3,8,154,0
Chardonnay,Beverages,51,9,14,0.04,Shannon Valley Produce,Limerick,No,11.74,2,7,6,202,0
Sticky Toffee Pudding,Dessert ,446,10,16,0.03,Shannon Valley Produce,Limerick,No,17.21,4,30,7,239,3
Shepherd's Pie,Food ,108,6,16,0.07,Connemara Supplies,Mayo,Yes,9.1,4,14,8,47,1
Corned Beef,Food ,422,2,22,0.06,Claddagh Provisions,Galway,Yes,4.26,3,3,8,111,15
Boxty,Food ,415,14,23,0.13,Connemara Supplies,Mayo,Yes,4.99,4,14,6,51,24
Heineken,Beverages,361,1,20,0.06,Claddagh Provisions,Galway,Yes,17.27,3,14,4,76,8
Kilkenny,Beverages,49,16,27,0.09,Emerald Foods Ltd,Cork,Yes,17.18,1,7,7,213,2
Corned Beef,Food ,90,1,12,0.13,Shannon Valley Produce,Limerick,No,13.42,1,7,9,203,11
Corned Beef,Food ,33,10,17,0.14,Connemara Supplies,Mayo,Yes,18.81,2,30,1,67,1
Craft Beer,Beverages,244,18,9,0.03,Shannon Valley Produce,Limerick,No,10.89,2,30,8,57,0
Irish Stew,Food ,398,10,9,0.12,Claddagh Provisions,Galway,Yes,8.07,6,7,2,72,32
Pepperoni Pizza,Food ,100,19,9,0.1,Emerald Foods Ltd,Cork,Yes,15.8,2,3,8,190,9
Boxty,Food ,316,2,18,0.15,Emerald Foods Ltd,Cork,Yes,12.15,2,7,5,166,26
Truffle Mushroom Pizza,Food ,413,5,22,0.12,Connemara Supplies,Mayo,Yes,4.35,4,7,8,38,47
Sweet Potato Fries,Food ,476,15,12,0.12,Emerald Foods Ltd,Cork,Yes,14.49,5,30,4,245,53
BBQ Chicken Pizza,Food ,339,18,7,0.08,Shannon Valley Produce,Limerick,No,17.75,6,14,2,168,17
Guinness,Beverages,81,19,10,0.15,Emerald Foods Ltd,Cork,Yes,17.34,3,3,5,152,9
Bread Pudding,Dessert ,129,5,25,0.1,Emerald Foods Ltd,Cork,Yes,11.91,4,14,9,197,6
Irish Nachos,Food ,474,7,10,0.1,Claddagh Provisions,Galway,Yes,12.13,4,3,4,146,41
Corned Beef,Food ,391,23,9,0.09,Claddagh Provisions,Galway,Yes,2.46,4,7,9,136,30
Irish Stew,Food ,494,15,25,0.06,Shannon Valley Produce,Limerick,No,8.57,5,14,6,215,28
Corned Beef,Food ,377,12,5,0.07,Claddagh Provisions,Galway,Yes,9.06,1,7,4,25,12
Sweet Potato Fries,Food ,209,22,17,0.02,Green Isle Distributors,Dublin,No,14.95,5,7,4,214,0
Baileys Cheesecake,Dessert ,208,10,15,0.06,Green Isle Distributors,Dublin,No,5.06,1,3,9,244,12
Irish Nachos,Food ,375,16,29,0.08,Connemara Supplies,Mayo,Yes,3.18,3,7,9,101,14
Craft Beer,Beverages,311,9,10,0.11,Shannon Valley Produce,Limerick,No,13.3,1,7,6,180,1
Irish Nachos,Food ,424,1,25,0.04,Emerald Foods Ltd,Cork,Yes,11.95,4,30,4,123,6
Truffle Mushroom Pizza,Food ,391,3,28,0.08,Connemara Supplies,Mayo,Yes,15.54,3,14,8,125,2
Irish Stew,Food ,440,18,21,0.04,Connemara Supplies,Mayo,Yes,7.27,6,3,6,138,15
Spicy Wedges,Food ,289,22,13,0.04,Claddagh Provisions,Galway,Yes,5.76,6,30,6,118,1
Sticky Toffee Pudding,Dessert ,457,1,27,0.05,Connemara Supplies,Mayo,Yes,17.38,1,14,7,157,0
Guinness,Beverages,115,19,17,0.05,Green Isle Distributors,Dublin,No,11.02,3,30,9,78,0
Irish Coffee,Beverages,459,5,12,0.15,Green Isle Distributors,Dublin,No,14.22,6,3,4,47,38
Kilkenny,Beverages,194,16,7,0.13,Green Isle Distributors,Dublin,No,6.42,6,30,3,221,16
Craft Beer,Beverages,188,14,17,0.05,Claddagh Provisions,Galway,Yes,7.87,3,3,3,251,4
Craft Beer,Beverages,311,16,12,0.12,Green Isle Distributors,Dublin,No,4.83,5,3,2,268,16
Irish Coffee,Beverages,344,15,8,0.06,Green Isle Distributors,Dublin,No,16.56,5,14,8,99,19
Corned Beef,Food ,80,20,28,0.1,Connemara Supplies,Mayo,Yes,7.02,3,14,1,146,3
Sticky Toffee Pudding,Dessert ,487,20,11,0.09,Green Isle Distributors,Dublin,No,15.03,6,3,9,70,18
Heineken,Beverages,253,9,25,0.14,Connemara Supplies,Mayo,Yes,9.41,3,30,4,73,32
Smithwick's,Beverages,462,16,21,0.14,Green Isle Distributors,Dublin,No,12.98,3,30,8,86,10
Sweet Potato Fries,Food ,462,12,3,0.13,Green Isle Distributors,Dublin,No,12.55,6,3,4,70,7
Chardonnay,Beverages,497,13,29,0.06,Connemara Supplies,Mayo,Yes,8.89,2,7,9,287,27
Bread Pudding,Dessert ,391,2,5,0.1,Green Isle Distributors,Dublin,No,7.09,3,3,3,50,17
Irish Coffee,Beverages,97,24,16,0.1,Shannon Valley Produce,Limerick,No,19.45,2,3,4,224,3
Craft Beer,Beverages,11,13,27,0.02,Connemara Supplies,Mayo,Yes,11.85,2,14,7,261,0
Potato Skins,Food ,77,18,9,0.02,Connemara Supplies,Mayo,Yes,19.16,5,7,3,20,1
Truffle Mushroom Pizza,Food ,316,24,26,0.14,Shannon Valley Produce,Limerick,No,11.44,5,3,2,167,31
Truffle Mushroom Pizza,Food ,300,21,6,0.12,Claddagh Provisions,Galway,Yes,17.18,1,7,5,85,33
Truffle Fries,Food ,83,18,18,0.02,Claddagh Provisions,Galway,Yes,19.36,1,7,3,227,1
BBQ Chicken Pizza,Food ,227,9,21,0.06,Connemara Supplies,Mayo,Yes,12.49,1,30,8,221,8
Onion Rings,Food ,54,8,20,0.03,Green Isle Distributors,Dublin,No,14.64,4,30,7,120,1
Pinot Noir,Beverages,128,12,19,0.07,Green Isle Distributors,Dublin,No,2.4,1,3,7,104,6
Irish Coffee,Beverages,84,18,23,0.03,Emerald Foods Ltd,Cork,Yes,10.43,4,30,2,261,0
Rioja,Beverages,296,3,5,0.1,Connemara Supplies,Mayo,Yes,11.88,6,3,5,36,6
Heineken,Beverages,183,17,7,0.09,Emerald Foods Ltd,Cork,Yes,1.6,4,14,8,145,11
Bread Pudding,Dessert ,467,2,14,0.11,Emerald Foods Ltd,Cork,Yes,3.92,3,14,8,28,37
Chardonnay,Beverages,259,5,18,0.05,Claddagh Provisions,Galway,Yes,11.26,3,3,9,187,0
Onion Rings,Food ,116,10,12,0.11,Claddagh Provisions,Galway,Yes,15.3,1,30,3,142,11
Irish Nachos,Food ,447,10,24,0.13,Emerald Foods Ltd,Cork,Yes,4.91,6,7,6,209,28
Pinot Noir,Beverages,70,11,19,0.13,Shannon Valley Produce,Limerick,No,9.61,3,3,3,123,2
Guinness,Beverages,435,21,23,0.02,Claddagh Provisions,Galway,Yes,10.25,1,30,5,83,1
Rioja,Beverages,196,7,21,0.09,Claddagh Provisions,Galway,Yes,11.27,4,7,7,149,2
Sticky Toffee Pudding,Dessert ,408,16,3,0.11,Emerald Foods Ltd,Cork,Yes,19.24,4,14,4,25,28
Pinot Noir,Beverages,51,21,15,0.1,Emerald Foods Ltd,Cork,Yes,3.46,3,14,9,31,0
Spicy Wedges,Food ,353,5,14,0.01,Emerald Foods Ltd,Cork,Yes,10.68,4,7,8,64,1
Garlic Parmesan Fries,Food ,154,23,22,0.07,Green Isle Distributors,Dublin,No,4.68,5,3,9,186,2
Whiskey,Beverages,300,21,24,0.05,Claddagh Provisions,Galway,Yes,11.08,5,30,7,21,12
Onion Rings,Food ,40,1,26,0.11,Emerald Foods Ltd,Cork,Yes,6.61,1,7,1,232,4
Sticky Toffee Pudding,Dessert ,18,16,9,0.09,Shannon Valley Produce,Limerick,No,4.18,1,30,7,249,1
Bread Pudding,Dessert ,144,1,5,0.07,Connemara Supplies,Mayo,Yes,12.8,5,30,4,288,1
Irish Stew,Food ,161,11,7,0.02,Claddagh Provisions,Galway,Yes,19.11,2,7,6,167,0
